"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp22061_seq0" 2 7 3 2 24 7
"comp53521_seq0" 0 0 4 0 0 0
"comp54503_seq0" 1 0 0 0 0 0
"comp9180_seq0" 62.01 61.43 77.7 78 130 101.29
"comp20413_seq0" 5 1 0 0 0 4
"comp18728_seq0" 0 10 8 7 8 10
"comp50788_seq0" 0 0 0 0 0 3
"comp20947_seq0" 29 19 13 21 16 22
"comp2274_seq0" 259.48 240.89 237.97 269.32 241.65 189.92
"comp51315_seq0" 0 0 0 0 1 0
"comp37514_seq0" 0 0 2 2 0 1
"comp33498_seq0" 2 1 1 3 3 4
"comp53654_seq0" 0 0 0 0 0 2
"comp43633_seq0" 2 1 0 2 4 0
"comp44809_seq0" 0 0 2 1 0 0
"comp5275_seq2" 0 1 7.77 0 3.12 1.06
"comp57380_seq0" 2 3 0 0 0 3
"comp7023_seq0" 223 90 96 125 119 75
"comp19088_seq0" 23 20 22 33 32 14
"comp13177_seq4" 10.19 81.41 0 17.16 75.97 0
"comp45549_seq1" 0 0 1 1 2 0
"comp40064_seq0" 0 0 1 0 0 0
"comp9892_seq0" 98 98 75 70 100 101
"comp35157_seq0" 0 0 3 0 0 8
"comp53381_seq0" 1 0 1 0 0 3
"comp15246_seq0" 81 61 125 64 125 33
"comp37144_seq0" 0 0 0 6 4 0
"comp40815_seq0" 0 0 0 0 0 15
"comp36982_seq0" 1 0 1 0 0 3
"comp14039_seq0" 79 10 46 115 161 120
"comp14349_seq0" 46 39 76 62 89 72
"comp23420_seq0" 5 4 2 0 1 10
"comp10651_seq0" 57.02 28.24 69.13 61.34 38.44 91.4
"comp16894_seq0" 6.61 1.07 2.4 0 3 0
"comp997_seq0" 2107.03 1430.79 1797.41 2668.66 2355.64 1648.31
"comp1325_seq1" 701 454 608 562 321 990
"comp1765_seq0" 575.58 390.09 735.14 465 452.24 409.75
"comp45120_seq0" 0 4 0 0 0 0
"comp16272_seq0" 1 0 5 4 3 7
"comp31100_seq0" 4 1 2 0 1 2
"comp48976_seq0" 3 0 0 0 1 0
"comp23222_seq0" 4 0 4 1 1 4
"comp57808_seq0" 0 0 0 1 0 0
"comp20437_seq0" 5 1 12 7 3 6
"comp55714_seq0" 0 0 2 0 0 0
"comp44297_seq0" 0 0 0 1 0 3
"comp1117_seq0" 166 97 42 13 61 65
"comp27707_seq0" 0 2 5 6 1 1
"comp10384_seq0" 9.68 0 14.43 10.87 1 16.18
"comp58324_seq0" 1 0 1 0 4 1
"comp36731_seq0" 1 0 1 0 4 0
"comp49368_seq0" 0 0 0 0 0 0
"comp27995_seq0" 1 8 9 8 7 22
"comp27421_seq0" 0 0 1 1 0 0
"comp49040_seq0" 0 0 2 2 0 0
"comp2447_seq0" 203.98 102.68 14 2.14 25.97 116.84
"comp24258_seq0" 2 5 5 6 1 1
"comp49330_seq0" 0 2 0 2 0 1
"comp30653_seq0" 1 0 0 3 0 0
"comp4899_seq4" 354.21 192.73 434.82 275.73 200.27 157.5
"comp54466_seq0" 1 1 0 1 1 0
"comp205_seq0" 9912.93 5534 7474.54 6042.91 6238 7612
"comp47487_seq1" 0 0 0 0 0 3
"comp2042_seq0" 160.89 149.12 190.18 166.9 151.17 126.53
"comp21611_seq0" 47 30 42 71 59 70
"comp7740_seq1" 27.71 9.56 38.4 35.14 14.34 67.04
"comp16487_seq1" 4 2 33 14 6 208
"comp5711_seq4" 70.08 146 87 101.71 132.79 88.82
"comp48449_seq0" 0 3 0 0 2 3
"comp8639_seq1" 60.4 41.89 23.32 10.42 113.92 72.58
"comp35489_seq0" 0 0 0 2 0 2
"comp12570_seq0" 16.6 8.52 0 28.81 50.76 0
"comp25848_seq0" 1 0 3 0 0 0
"comp7532_seq0" 125.09 177.6 62.58 76.63 72.54 121.16
"comp56348_seq0" 1 0 0 0 0 0
"comp12184_seq1" 124 41 94 117 77 118
"comp56038_seq0" 2 1 2 1 0 1
"comp3250_seq0" 119 80 138 101 147 107
"comp30595_seq0" 2 7 0 0 1 1
"comp41569_seq0" 0 0 0 2 0 0
"comp6763_seq0" 5 9 20 9 8 21
"comp6626_seq0" 198 128 320 201 235 185
"comp43471_seq0" 0 0 0 0 0 0
"comp4184_seq1" 142 124 132 127 186 177
"comp40403_seq0" 3 0 6 1 1 2
"comp25171_seq0" 10 4 3 2 5 9
"comp56060_seq0" 0 0 0 0 0 0
"comp379_seq0" 2000.98 2561.99 2256.98 1348.81 1525 2773
"comp36792_seq0" 1 2 0 0 0 0
"comp2224_seq1" 13.92 21.44 38.52 30.63 35.44 32.09
"comp5801_seq0" 16 12 28 8 15 19
"comp5003_seq1" 328 170 626 310 180 228
"comp47470_seq0" 0 0 0 0 0 3
"comp15686_seq0" 20 5 18 16 17 26
"comp47733_seq0" 0 2 6 2 0 4
"comp8088_seq1" 12 22 12 30 38 39
"comp57754_seq0" 4 0 0 0 0 0
"comp7913_seq0" 48 81 44 54 45 81
"comp7871_seq0" 165 90 167 158 152 192
"comp47272_seq0" 2 0 0 2 0 0
"comp1130_seq1" 1423.12 766.04 1599.49 1425.5 1688.77 1318.05
"comp4665_seq0" 106 54 74 122 243 172
"comp58086_seq0" 1 1 0 0 0 0
"comp55747_seq0" 0 0 0 4 2 0
"comp47894_seq0" 0 0 2 0 0 0
"comp14076_seq0" 43 29 61 15 18 15
"comp1561_seq0" 1127 925 1421 1024 995 1411
"comp3251_seq2" 74.58 39.79 84.45 93.99 48.98 42.57
"comp29418_seq0" 0 0 13 0 1 1
"comp33261_seq0" 1 5 0 0 9 11
"comp23607_seq0" 0 0 1 13 0 8
"comp37117_seq0" 5 3 4 5 10 6
"comp12638_seq1" 13.04 5.06 13.91 1.56 0 0
"comp48939_seq0" 0 0 2 0 2 0
