"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp36752_seq0" 0 0 1 0 0 0
"comp16708_seq0" 2 0 0 3 5 2
"comp57833_seq0" 3 0 0 0 0 0
"comp51616_seq0" 2 0 0 0 2 1
"comp47854_seq0" 0 0 0 0 0 0
"comp24461_seq0" 2 1 2 2 0 1
"comp4669_seq0" 54 31 36 15 17 36
"comp56125_seq0" 0 0 0 0 0 0
"comp57426_seq0" 0 0 1 0 0 0
"comp10632_seq0" 93 16 34 36 76 92
"comp6541_seq1" 155 130 153 128 214 171
"comp30555_seq0" 0 6 1 0 1 0
"comp17018_seq1" 0 5.8 0 17 8 13.64
"comp7040_seq3" 233.79 99.83 75.87 62.03 80.22 158.77
"comp58235_seq0" 0 0 0 0 1 0
"comp29835_seq0" 3 0 13 12 9 5
"comp15307_seq0" 49 56 24 137 126 102
"comp25915_seq0" 3 12 24 13 12 12
"comp7104_seq1" 71.2 29.11 70.14 77.87 57.38 170.66
"comp39170_seq0" 4 0 0 0 2 0
"comp38413_seq0" 0 4 1 18 17 1
"comp1910_seq0" 249.57 170.06 1285.66 233.88 358.77 426.26
"comp1070_seq1" 1006.86 621.62 1274.12 1261.05 1183.7 1160.26
"comp11161_seq0" 40 21 36 30 35 16
"comp45987_seq0" 0 0 0 0 0 0
"comp16373_seq0" 5 3 5 0 4 1
"comp50958_seq0" 0 0 0 1 0 0
"comp41478_seq0" 0 1 0 0 0 2
"comp31942_seq0" 0 0 0 0 0 0
"comp4125_seq0" 267 177 374 342 321 489
"comp38947_seq0" 6 0 1 5 0 0
"comp17236_seq1" 26.08 29.35 13.03 31.2 42.26 33.24
"comp9690_seq0" 21 20 10 14 26 44.01
"comp4317_seq1" 31.24 18.12 53.7 26.94 26.16 46.23
"comp46152_seq0" 0 0 0 0 0 0
"comp12439_seq0" 64 74 60 71 99 54
"comp24301_seq0" 13.01 6 10 11 2 4.52
"comp5900_seq1" 41.61 46.54 47.78 47.01 48.44 74.94
"comp23323_seq0" 8 17 34 0 0 24
"comp41763_seq0" 0 0 1 0 0 0
"comp18680_seq1" 14.91 16.39 4.5 21.93 39.04 123.33
"comp15467_seq0" 33.13 13.05 32.1 23.17 19.02 32.28
"comp49433_seq0" 0 1 0 1 0 19
"comp53972_seq0" 0 0 0 0 0 0
"comp49826_seq0" 0 0 0 2 3 0
"comp49770_seq0" 0 2 0 0 2 7
"comp39698_seq0" 0 0 0 0 1 13
"comp32636_seq0" 2 0 0 0 1 3
"comp36371_seq0" 1 4 2 0 0 0
"comp47539_seq0" 4 1 0 0 1 0
"comp2285_seq0" 15.4 1.93 10.91 8.68 6.34 13.63
"comp9905_seq0" 49.69 31.65 79.27 29.08 0 0
"comp50619_seq0" 0 0 0 0 1 0
"comp12949_seq0" 22.3 34.87 39.6 10.37 31.83 14.47
"comp25804_seq0" 1 0 1 2 0 0
"comp56304_seq0" 0 0 0 0 0 0
"comp57483_seq0" 1 0 0 0 0 0
"comp27718_seq0" 7 4 1 4 13 2
"comp31230_seq0" 8 3 1 1 0 6
"comp16576_seq0" 0 2 0 1 1.14 0
"comp21326_seq1" 0 0 2 0 1.72 0
"comp6929_seq0" 53 45 63.66 69.79 72.46 102
"comp52066_seq0" 0 0 4 0 0 0
"comp17398_seq0" 6 9 11 18 18 12
"comp23526_seq0" 11 10 13 43 25 29
"comp31268_seq0" 3 0 2 4 1 2
"comp2207_seq0" 207 242 250 300 306 479
"comp59090_seq0" 0 0 5 0 0 0
"comp9987_seq0" 72 20 26 137 204 221
"comp31432_seq0" 5.01 0 2 2.62 0 0
"comp38437_seq0" 1 0 2 4 3 3
"comp54605_seq0" 1 0 0 0 1 0
"comp2346_seq2" 498 553 512 652 779 795
"comp6337_seq0" 101.46 131.55 103.46 74.77 101.6 78.85
"comp32224_seq0" 0 1 3 0 1 0
"comp39762_seq0" 0 6 1 0 1 0
"comp29620_seq0" 4 7 2 0 2 1
"comp42175_seq0" 1 0 1 0 0 1
"comp54560_seq0" 0 4 0 0 0 0
"comp54247_seq0" 0 0 0 0 0 0
"comp29485_seq0" 0 6 0 2 1 1
"comp57817_seq0" 0 0 0 0 0 0
"comp7319_seq1" 99.11 73.76 133.28 94.17 99.69 82.65
"comp54538_seq0" 0 0 0 1 4 1
"comp3842_seq0" 363 211 309 372 471 386
"comp49943_seq0" 3 1 0 4 0 2
"comp28653_seq0" 0 0 0 0 0 0
"comp55857_seq0" 1 0 0 0 0 0
"comp26357_seq0" 0 7 6 3 7 0
"comp24193_seq0" 3 36 6 2 44 36
"comp23861_seq1" 10.5 10 10 3 4 5
"comp40888_seq0" 0 0 0 0 0 2
"comp31925_seq0" 2 0 2 0 1 28
"comp2669_seq2" 47.21 20.32 18.46 57.25 60.08 39.63
"comp4735_seq3" 0 0 0 0 0 0
"comp28595_seq0" 0 0 1.07 0 0 0
"comp45905_seq0" 0 0 0 0 0 0
"comp54214_seq0" 0 0 1 0 0 1
"comp12476_seq0" 24 26 140 23 39 27
"comp57844_seq0" 1 0 0 0 0 0
"comp56963_seq0" 0 0 4 0 0 0
"comp31491_seq0" 11 1 10 0 0 0
"comp45797_seq0" 0 0 0 0 0 1
"comp130_seq0" 13016.23 11303.81 18156.7 11333.15 10754.5 10573.82
"comp35096_seq0" 2 1 0 0 0 0
"comp15525_seq0" 37 26 50 31 26 36
"comp46398_seq0" 1 1 1 1 6 4
"comp7920_seq0" 41 41 31 16 63 37
"comp11493_seq0" 1 3 13 5 0 0
"comp23959_seq0" 8 0 1 9 6 4
"comp4688_seq1" 272 189 208 148 185 198
"comp19015_seq0" 15 18 1 4 2 6
"comp58499_seq0" 1 0 0 0 0 0
"comp47576_seq0" 0 5 0 4 0 0
"comp51388_seq0" 0 0 0 0 0 0
"comp8065_seq0" 51 34 41 49 56 48
"comp13362_seq0" 58 38 65.92 53 46 48
"comp11562_seq1" 89 56 158 77 115.6 96
"comp25758_seq0" 6 1 1 0 0 1
"comp49671_seq0" 0 0 0 0 2 0
"comp32679_seq0" 2 2 0 0 5 8
"comp9752_seq0" 24 16 20 33 49 34
"comp40300_seq0" 1 0 0 0 1 0
"comp43082_seq0" 0 5 0 0 0 0
"comp26211_seq0" 2 1 0 5 6 2
"comp1384_seq0" 437 326 292 323 326 442
"comp14746_seq0" 21 12 15 4 3 7
"comp55077_seq0" 0 0 0 0 0 0
"comp29407_seq0" 3 6 4 4 12 7
"comp38914_seq0" 2 0 1 1 0 0
"comp13496_seq1" 46 28 56 70 42 42
"comp10840_seq0" 138 118 136 201 192 166
"comp23618_seq0" 1 1 2 0 0 1
"comp54687_seq0" 0 0 0 0 3 6
"comp37108_seq0" 0 0 3 1 0 0
"comp51800_seq0" 0 0 1 2 2 0
"comp6979_seq1" 104.27 93.95 88.77 68.73 80.28 35.62
"comp13724_seq1" 5.4 12.91 0 3.33 0 14.39
"comp47373_seq0" 0 0 0 3 0 0
"comp4330_seq0" 24 52 21 41 61 32
"comp18677_seq0" 13 5 12 14 13 16
"comp11672_seq0" 13 0 6 31.01 26 25.5
"comp29721_seq0" 0 0 0 0 0 0
"comp30437_seq0" 0 0 0 0 2 0
"comp15019_seq0" 44 24 31 44 41 34
"comp33685_seq0" 0 1 0 1 1 8
"comp21100_seq0" 7 5 3 12 10 15
"comp19529_seq0" 0 5 4 14 5 3
"comp33222_seq0" 5 5 0 2 2 0
"comp46059_seq0" 3 0 0 0 0 0
"comp9237_seq0" 8 7 31 12 2 18
"comp10719_seq2" 171.38 79 181.78 340.45 281 345.55
"comp2640_seq0" 339 209 120 476 156 198
"comp8419_seq0" 1 1 2 13 5 11
"comp17423_seq0" 30 31 16 59 45 141
"comp51550_seq0" 0 0 0 0 0 0
"comp47312_seq0" 0 0 0 1 2 0
"comp11613_seq0" 23 19 24 29 29 57
"comp33420_seq0" 4 3 4 6 12 25
"comp17836_seq0" 7 4 0 5 6 8
"comp58619_seq0" 0 0 0 0 0 0
"comp6588_seq0" 1 0 0 1 0 0
"comp14400_seq0" 24 41 4 89 51 75
"comp305_seq0" 6888 6813 8539 6662 7198 7138
"comp10193_seq3" 72.78 60.65 99.26 95.57 82.52 99.9
"comp20653_seq0" 9 4 3 10 8 6
"comp31611_seq0" 5 4 4 6 3 3
"comp3042_seq0" 482 379 483 0 17.12 694
"comp37421_seq0" 0 0 0 0 0 1
"comp34258_seq0" 1 0 0 3 5 3
"comp3447_seq0" 59.66 65.75 58.6 32.22 64.9 46.2
"comp26731_seq0" 1 7 0 2 0 0
"comp37707_seq0" 0 0 0 0 2 2
"comp14202_seq0" 0 0 1 5 3 3
"comp37995_seq0" 0 0 1 5 11 3
"comp42523_seq0" 3 0 0 0 4 3
"comp10164_seq1" 79 38 66 101 104 46
"comp2641_seq2" 88.32 122.78 105.49 152.25 185.16 179.61
"comp49909_seq0" 1 1 1 0 0 5
"comp32901_seq0" 0 0 8 0 0 0
"comp47006_seq0" 0 0 5 0 0 1
"comp21175_seq1" 0 8 0 7 2 17.59
"comp52974_seq0" 0 1 0 0 0 0
"comp2119_seq1" 517 559 490 426 330 583
"comp6465_seq0" 44 148 124 30 147 32
"comp13616_seq1" 28 55 34 50 48 46
"comp7810_seq0" 5 11 15 4 13 7
"comp45198_seq0" 0 0 0 1 3 0
"comp30947_seq0" 0 1 0 1 0 0
"comp58958_seq0" 0 0 0 3 0 0
"comp27514_seq0" 4 0 9 8 1 1
"comp23498_seq0" 4 16 5 39 33 31
"comp3274_seq0" 164 112 135 131 177 201
"comp27144_seq0" 7 11 9.34 12 20 19
"comp44753_seq0" 0 0 1 1 0 0
"comp2935_seq0" 785 677.71 674.06 639.71 1012.99 831.22
"comp26982_seq0" 4 6 5 3 7 1
"comp54734_seq0" 0 0 0 0 0 0
"comp46879_seq0" 0 0 0 0 4 0
"comp55507_seq0" 0 0 0 1 0 3
"comp4426_seq0" 321.77 169.86 288.71 236.09 244.93 293.81
"comp43457_seq0" 0 0 0 0 0 2
"comp54893_seq0" 0 0 0 0 0 0
"comp9159_seq0" 22 31 13 32 34 54
"comp25157_seq0" 1 0 3 3 2 0
"comp42326_seq0" 0 0 0 0 0 0
"comp33245_seq0" 4 0 0 3 0 0
"comp8332_seq0" 97.66 176.12 357.83 113.46 134.35 107.15
"comp1177_seq2" 20.7 14 9.96 10.83 13 1.12
"comp27117_seq0" 6 3 1 3 3 1
"comp1463_seq0" 712 646 953 450 671 677
"comp17879_seq0" 2 3 1 2 2 2
"comp5957_seq1" 42.99 63.05 24.76 41.43 38.36 172.87
"comp23261_seq0" 24 20 22 37 33 57
"comp12722_seq1" 56 69 91 90 91 194
"comp33607_seq0" 0 0 1 1 4 0
"comp48300_seq0" 0 0 0 0 0 0
"comp39418_seq0" 0 0 1 0 0 0
"comp42084_seq0" 0 2 0 0 0 0
"comp37785_seq0" 2.44 0 0 7.03 3 11
"comp27260_seq0" 2 0 0 3 2 0
"comp26630_seq0" 0 0 0 1 0 0
"comp10677_seq0" 63 48 91 90 82 71
"comp51275_seq0" 0 0 0 0 0 0
"comp25554_seq0" 6 3 1 10 27 43
"comp14627_seq0" 41 64 59 77 71 106
"comp31710_seq0" 0 0 2 2 2 0
"comp27462_seq0" 8 5 1 2 6 15
"comp26668_seq0" 1 3 0 5 13 0
"comp27238_seq0" 14.51 5.26 12.71 19.55 14.62 23.18
"comp18840_seq0" 11 25 4 11 14 11
"comp30914_seq0" 0 0 4 0 1 4
"comp55104_seq0" 0 0 0 5 0 0
"comp27547_seq0" 4 0 1 4 1 4
"comp16006_seq0" 9 18 13 16 11 11
"comp279_seq0" 5894 2927 4195 20242 9504 17243
"comp35171_seq0" 1 0 2 1 2 2
"comp53913_seq0" 0 3 0 0 0 0
"comp2250_seq0" 222.28 477.44 536.86 1364.02 827.43 1230.86
"comp43189_seq0" 0 2 1 0 0 2
"comp12364_seq0" 2 0 1 0 0 0
"comp676_seq1" 1255.78 1014.1 1559.05 973.05 1437.85 941.55
"comp48888_seq0" 0 1 2 1 0 0
"comp35848_seq0" 7 0 1 0 0 0
"comp25489_seq0" 6 1 7 23 11 14
"comp46836_seq0" 1 1 0 0 0 0
"comp16312_seq0" 1 7 21 24 4 19
"comp46423_seq0" 0 0 0 0 0 0
"comp11328_seq0" 44 55.01 39 49.01 51.33 157.13
"comp45352_seq0" 0 0 8 0 0 0
"comp50499_seq0" 0 0 0 1 0 0
"comp17059_seq0" 4 0 3 2 5 0
"comp19956_seq0" 18 14 12 20 7 5
"comp26792_seq0" 0 0 0 0 0 0
"comp15173_seq0" 51 33 51 71 46 57
"comp791_seq1" 64.33 95.78 57.18 111.41 63.38 67.24
"comp55585_seq0" 0 0 0 0 0 0
"comp14310_seq3" 24.24 16.9 16.15 56.05 32.16 47.7
"comp1820_seq0" 960 783 962 913 956 1014
"comp52692_seq0" 1 0 0 0 0 1
"comp38270_seq0" 0 0 0 0 1 0
"comp3289_seq0" 292 163 542 245 201 303
"comp33789_seq0" 1 0 0 2 0 0
"comp30805_seq0" 0 0 0 1 1 12
"comp24898_seq1" 3 2 17.03 8.08 0 0
"comp58715_seq0" 0 0 3 1 0 0
"comp59135_seq0" 0 0 0 0 0 0
"comp16107_seq0" 3.82 8.34 15.92 21.49 19.23 53.68
"comp8515_seq1" 13.68 10.99 53.36 25.99 2.81 25.34
"comp29658_seq0" 0 0 0 4 3 0
"comp48948_seq0" 0 0 0 0 0 0
"comp45771_seq0" 2 0 0 0 0 10
"comp31477_seq0" 2 0 3 2 3 4
"comp38472_seq0" 0 0 1 0 1 0
"comp12404_seq0" 227 151 71 33 17 14
"comp35988_seq0" 1 0 2 3 1 4
"comp55325_seq0" 0 0 0 0 0 0
"comp12953_seq5" 16.12 21.08 22.16 0 111.12 84.61
"comp26825_seq0" 2 1 2 4 1 0
"comp34819_seq0" 0 0 0 1 0 10
"comp54743_seq0" 1 0 0 0 0 0
"comp37249_seq0" 0 0 0 0 7 0
"comp27133_seq0" 0 0 0 1 2 0
"comp49697_seq0" 1 0 0 0 1 0
"comp53447_seq0" 0 0 1 0 0 0
"comp11588_seq0" 54 57 55 70 47 103
"comp22022_seq0" 1 5 0 2 0 0
"comp47504_seq0" 0 0 0 0 0 5
"comp53562_seq0" 0 4 0 0 0 1
"comp13875_seq0" 59 44 90 43 62 74
"comp48438_seq0" 1 0 0 1 0 0
"comp52768_seq0" 2 1 3 0 1 0
"comp56339_seq0" 0 0 0 0 0 0
"comp48262_seq0" 0 0 0 0 0 0
"comp41267_seq0" 3 2 1 0 3 0
"comp25839_seq0" 0 4 0 0 0 0
"comp1287_seq1" 1525 652 1897 1115 1230 1346
"comp20081_seq0" 11 11 14 7 26 14
"comp5392_seq0" 162 84 250 163 169 152
"comp56049_seq0" 0 0 0 0 1 0
"comp38693_seq0" 4 1 1 0 1 0
"comp2708_seq0" 247 160 266 310 304 325
"comp12895_seq1" 75 65 90 64 60 73
"comp8358_seq0" 10 10 6 5 10 10
"comp52730_seq0" 0 0 2 0 0 3
"comp48460_seq0" 4 0 0 0 0 0
"comp25621_seq0" 14 13 15 2 5 10
"comp41540_seq0" 0 0 2 0 0 0
"comp52473_seq0" 0 0 3 1 0 0
"comp29919_seq0" 0 0 1 5 10 2
"comp13055_seq0" 36.77 33.1 64.83 31.65 22.73 23.5
"comp27016_seq0" 0 0 0 1 0 2
"comp51496_seq0" 0 0 0 0 0 0
"comp1545_seq0" 350 768 371 276 347 366
"comp55091_seq0" 0 0 0 0 0 0
"comp4641_seq0" 119 205 192 279 238 226
"comp53937_seq0" 0 0 0 0 0 0
"comp13800_seq1" 28.84 13.81 16.9 28.28 23.68 27.42
"comp50920_seq0" 1 0 0 1 0 0
"comp18980_seq0" 2 14 8 0 4 10
"comp18691_seq0" 9 17 30 5 0 8
"comp51724_seq0" 4 2 2 0 0 0
"comp27302_seq0" 4 3 7 9 4 1
"comp54970_seq0" 3 0 0 0 0 0
"comp46486_seq0" 0 0 1 0 0 0
"comp22867_seq0" 1 0 3 2 3 2
"comp47185_seq0" 4 2 1 2 3 2
"comp16185_seq0" 31 21 69 52 69 72
"comp4214_seq0" 228.45 221.38 203.61 171.4 232.39 190.64
"comp56573_seq0" 0 0 0 0 2 0
"comp35798_seq0" 0 0 0 1 0 0
"comp45670_seq0" 0 0 0 0 0 1
"comp12289_seq1" 45.39 3 25.84 5.98 8 1
"comp44599_seq0" 0 0 0 0 0 0
"comp10411_seq0" 224 99 102 176 145 169
"comp44080_seq0" 0 0 0 4 1 6
"comp30887_seq0" 0 7 2 7 4 1
"comp1162_seq0" 712 608 821 862 756 1482
"comp33999_seq0" 0 2 0 0 0 0
"comp12063_seq0" 5 13 7 6 13 1
"comp1870_seq1" 26.68 26.4 13.02 0 15.87 20.06
"comp7131_seq0" 142 48 100 137 110 183
"comp42586_seq0" 6 2 1 0 0 0
"comp49069_seq0" 0 0 0 0 0 1
"comp47966_seq0" 0 0 0 2 1 0
"comp21451_seq0" 38 32 30 32 36 27
"comp32061_seq0" 0 0 6 1 3 0
"comp1740_seq2" 650.05 773.96 1197.81 860.84 1037.55 1046.84
"comp55032_seq0" 0 0 0 0 2 1
"comp30413_seq0" 5 4 0 3 0 12
"comp7560_seq1" 23 21 53 40 21 35
"comp37689_seq0" 0 2 0 1 3 1
"comp55342_seq0" 0 4 0 1 0 0
"comp36397_seq0" 0 0 0 0 0 0
"comp23_seq0" 2938.39 3650.15 2332.24 2233.33 2911.06 2820.19
"comp4251_seq0" 100.34 39.28 81.61 18.06 73.82 56.49
"comp34153_seq0" 5 2 1 1 0 0
"comp22045_seq0" 9 12 24 11 7 12
"comp38555_seq0" 0 0 1 0 0 1
"comp22335_seq0" 5 13 19 9 32 40
"comp6543_seq0" 56.51 30.89 14.51 43.92 51.52 23.54
"comp7840_seq3" 73.81 82.14 129.24 171.76 260.64 448.32
"comp18632_seq0" 1 5 0 0 5 7
"comp11637_seq0" 10.61 0 9.66 1.2 4.39 0
"comp35662_seq0" 7 10 0 21 12 5
"comp52631_seq0" 0 0 0 0 0 0
"comp5586_seq0" 16 7 45 25 13 0
"comp16504_seq0" 4 14 1 1 7 0
"comp5088_seq4" 142.05 23.64 121.83 85.39 50.19 100.9
"comp45293_seq0" 0 0 0 0 0 0
"comp25720_seq0" 1 2 0 0 0 0
"comp25876_seq0" 7 12 57 10 12 13
"comp56376_seq0" 0 0 0 0 0 0
"comp8754_seq1" 14 20 6 16 8 282
"comp19389_seq0" 0 2 2 1.16 0 4.7
"comp57598_seq0" 0 1 0 1 2 0
"comp53414_seq0" 1 0 0 0 0 3
"comp5971_seq6" 11.75 19.18 15.76 23.15 24.7 27.88
"comp52829_seq0" 0 0 0 0 0 0
"comp6594_seq0" 27.87 39.53 73.21 31.45 35.7 25.82
"comp18790_seq0" 33 46 41 39 39 47
"comp42383_seq0" 2 0 1 0 0 0
"comp14360_seq0" 9 15 37 14 27 9
"comp18495_seq2" 6.19 6.73 7.54 3.7 9.92 22.3
"comp47107_seq0" 0 0 4 0 0 0
"comp14048_seq0" 11 16 8 9 6 5
"comp46924_seq0" 0 0 1 0 0 0
"comp6234_seq1" 255 210 261 212 282 159
"comp14338_seq0" 19 16 78 43 33 34
"comp28310_seq0" 4 14 4 2 6 0
"comp47833_seq0" 0 0 0 1 0 5
"comp8078_seq1" 203 114 201 131 169 187
"comp41616_seq0" 1 2 0 0 0 0
"comp36274_seq0" 0 0 0 0 0 2
"comp8918_seq0" 57 15 45 25 42 30
"comp57854_seq0" 2 0 0 0 0 0
"comp36892_seq0" 1 1 0 6 3 18
"comp5669_seq0" 94 44 99 98 74 97
"comp47426_seq0" 0 2 0 0 7 1
"comp46125_seq0" 0 0 0 1 1 1
"comp47794_seq0" 0 3 10 1 4 2
"comp26347_seq0" 2 6 12 4 6 5
"comp55847_seq0" 0 0 0 0 0 0
"comp32095_seq0" 2 0 0 0 0 1
"comp14020_seq0" 1 1 3 0 10 2
"comp4168_seq0" 187.18 163.89 212.58 203.06 224.24 237.44
"comp42906_seq0" 0 0 0 0 2 1
"comp37001_seq0" 1 0 3 2 1 0
"comp10070_seq0" 34 28.26 36.35 35.32 36 38
"comp7881_seq0" 50.78 76.79 28.45 33.87 46.81 64.92
"comp26037_seq0" 10 7 5 0 0 0
"comp15475_seq0" 9 25 19 6 10 15
"comp1307_seq0" 2325.67 1206.04 1649.53 2385.73 2669.1 2284.08
"comp17003_seq0" 1 5 3 13 4 1
"comp8064_seq0" 47 28 45 61 55 89
"comp3001_seq2" 20.55 0 0 29.12 0 0
"comp24204_seq0" 7 16 12 9 15 26
"comp30382_seq0" 2 0 0 2 3 2
"comp33000_seq0" 0 1 0 1 0 2
"comp12526_seq0" 12 14 16 3 8 23
"comp28971_seq0" 0 3 6 0 2 0
"comp25748_seq0" 13 21 17 12 7 10
"comp4174_seq1" 133 198 96 96 149 112
"comp23949_seq0" 0 0 3 6 2 2
"comp5253_seq1" 300.29 206.32 335.96 274.84 243.68 309.67
"comp48235_seq0" 0 3 4 1 3 1
"comp4756_seq2" 0 0 0 0 0 12
"comp53535_seq0" 0 0 2 0 0 0
"comp21810_seq0" 14 2 18 8 41 8
"comp1385_seq0" 73 73 95 46 129 69
"comp558_seq4" 409.68 305.18 129.75 255.83 230.91 172.28
"comp17512_seq0" 9 5 19 14 4 21
"comp27885_seq0" 3 1 1 0 7 2
"comp42167_seq0" 0 0 0 0 1 2
"comp10005_seq1" 37 87 12 43 82 51
"comp49329_seq0" 1 0 0 1 3 0
"comp708_seq2" 541.77 685.59 593.22 511.72 643.75 456.76
"comp32321_seq0" 2 1 1 0 0 0
"comp53608_seq0" 0 0 0 0 4 1
"comp46464_seq0" 0 0 0 0 0 0
"comp23439_seq0" 2 0 0 2 2 1
"comp57074_seq0" 1 0 0 0 0 0
"comp12323_seq0" 20.54 0 0 92.28 8.23 56.45
"comp59162_seq0" 0 0 0 0 0 0
"comp45139_seq0" 0 0 2 0 0 0
"comp42412_seq0" 0 0 0 0 0 0
"comp28283_seq0" 2 7 0 0 1 0
"comp10850_seq0" 42.69 16.27 77.17 30.25 38.2 74.84
"comp42210_seq0" 6 2 0 4 2 10
"comp16984_seq0" 22 11 31 16 19 16
"comp56201_seq0" 0 0 0 0 0 0
"comp17142_seq0" 4 7 6 4 3 12
"comp9747_seq0" 4 2 6 9 4 3
"comp18575_seq1" 0 3 0 4 1 7.77
"comp46142_seq0" 0 0 2 2 0 2
"comp11189_seq1" 5 5 13.79 11 11 1
"comp42564_seq0" 0 0 0 0 0 0
"comp47984_seq0" 0 2 1 2 0 1
"comp11908_seq0" 13.4 35 30 14.01 23.63 9.36
"comp27299_seq0" 2 4 1 0 0 0
"comp1859_seq1" 913.16 933.65 942.06 852.69 1046.5 1027.78
"comp9512_seq0" 19 25 16 32 32 104
"comp8099_seq1" 0 52 126.2 0 92.94 58
"comp38957_seq0" 1 1 0 0 0 0
"comp50948_seq0" 2 0 0 0 2 0
"comp4124_seq0" 35.29 10.42 101.49 59.97 76.04 44.56
"comp31952_seq0" 3 6 6 2 1 0
"comp12618_seq0" 43 13 75 15 26 13
"comp40715_seq0" 0 0 0 0 0 0
"comp6383_seq0" 145 145 177 184 246 194.28
"comp35508_seq0" 3 0 7 2 0 0
"comp17464_seq0" 6 6 4 1 2 3
"comp2552_seq1" 22.89 38.93 57.58 42.8 71.18 28.79
"comp8028_seq0" 43 2 10 7 17 12
"comp4279_seq2" 47.69 26.33 12.43 41.46 130.08 30.76
"comp2284_seq0" 57 187 55 89 91 118
"comp54311_seq0" 0 2 0 0 0 0
"comp9904_seq0" 50 56 50 49 46 45
"comp43694_seq0" 2 0 0 0 1 0
"comp46512_seq0" 0 0 0 0 1 0
"comp35635_seq0" 8 2 6 6 3 4
"comp5694_seq1" 164.64 30.83 71.75 121.94 53.77 100.21
"comp41528_seq0" 0 0 0 0 0 0
"comp15552_seq0" 59.53 49.55 62.23 78.57 104.71 75.31
"comp44709_seq0" 0 1 3 0 5 1
"comp27807_seq0" 4 1 3 4 5 4
"comp22362_seq0" 0 0 0 0 0 1
"comp36831_seq0" 0 0 0 0 0 4
"comp18665_seq0" 5 13 6 4 10 3
"comp3857_seq0" 19 56 26 56 84 48
"comp10087_seq1" 26 52 43 91 131 127
"comp50262_seq0" 0 0 0 0 0 0
"comp18500_seq0" 12 14 5 20 14 28
"comp50438_seq0" 0 2 1 0 0 0
"comp12959_seq0" 0 1 1 5.48 1 0
"comp24615_seq0" 0 3 7 0 0 3
"comp15627_seq1" 23 22 46 30 35 33
"comp9827_seq2" 92.52 37.93 172.61 122.64 114.06 65.5
"comp55065_seq0" 0 0 0 0 2 2
"comp50460_seq0" 1 0 1 1 1 0
"comp5207_seq2" 133.62 63.79 131.15 140.59 182.6 212.86
"comp36629_seq0" 0 4 0 0 0 1
"comp46003_seq0" 0 0 0 0 0 1
"comp998_seq0" 476 407 688 661 674 1460
"comp54257_seq0" 0 0 1 3 0 1
"comp45176_seq0" 0 0 0 1 1 0
"comp220_seq0" 6115.2 6758.5 6717.3 7659.14 7798.11 6943.87
"comp5346_seq0" 63 97 37 70 72 77
"comp23476_seq0" 17 9 19 17 13 23
"comp8390_seq0" 80 56 60 58 54 61
"comp16794_seq0" 3 2 0 1 0 5
"comp28643_seq0" 0 0 0 0 0 0
"comp49953_seq0" 0 0 0 0 0 0
"comp16426_seq0" 8 5 1 10 5 11
"comp55814_seq0" 0 0 0 0 0 2
"comp26314_seq0" 2 2 0 2 4 0
"comp17125_seq0" 3 7 48 4 11 177
"comp20609_seq0" 6 4 2 6 12 5
"comp48920_seq0" 0 0 0 1 0 2
"comp16833_seq0" 41 109 55 71 73 112
"comp57708_seq0" 0 0 0 0 0 1
"comp11030_seq0" 29 11 19 29 24 22
"comp11340_seq0" 52 56 37 33 44 62
"comp9335_seq1" 170 151 195 128 181 171
"comp22402_seq0" 4 0 0 0 4 0
"comp13540_seq1" 13.96 9.14 16.58 16 25.58 8.22
"comp11068_seq0" 92 31 43 60 73 86
"comp39604_seq0" 0 3 0 2 1 0
"comp13267_seq1" 62 55 66 38 51 37
"comp29375_seq0" 2 1 2 8 10 13
"comp5766_seq5" 7 14 1 9 5 8
"comp50300_seq0" 2 0 0 0 0 0
"comp37597_seq0" 0 2 5 7 1 1
"comp53082_seq0" 2 0 0 2 0 0
"comp22200_seq0" 0 15 3 17 13 11
"comp27922_seq0" 6 0 6 4 1 1
"comp44687_seq0" 2 2 0 0 3 1
"comp23295_seq0" 4 6 0 7 5 2
"comp41800_seq0" 1 0 0 7 1 2
"comp57373_seq0" 0 0 0 0 0 0
"comp12024_seq0" 96.26 82.48 60.03 86.23 99.55 34.68
"comp45077_seq0" 2 0 2 0 0 0
"comp860_seq2" 23.1 23.51 127.51 49.77 102.6 88.55
"comp35776_seq0" 0 1 0 1 2 0
"comp35820_seq0" 1 0 5 0 0 0
"comp30115_seq0" 0 1 0 0 0 0
"comp26179_seq0" 3 4 6 1 0 1
"comp55905_seq0" 0 0 0 0 0 0
"comp44214_seq0" 0 0 1 5 1 3
"comp55797_seq0" 0 0 0 0 0 0
"comp46963_seq0" 0 2 0 0 0 0
"comp47844_seq0" 0 0 1 0 0 1
"comp45857_seq0" 0 0 0 0 3 0
"comp34455_seq0" 0 0 0 0 2 2
"comp5039_seq1" 3 1.78 0 7.4 5.13 9.29
"comp50888_seq0" 2 0 0 0 1 0
"comp9170_seq0" 95 105 102 75 80 109
"comp13129_seq0" 30 32 25 17 32 14
"comp36481_seq0" 0 0 1 0 5 27
"comp9716_seq1" 62.06 79.03 0 134.12 99.58 113.85
"comp16817_seq0" 6 10 13 29 20 15
"comp36742_seq0" 0 0 0 0 0 0
"comp2229_seq1" 423 292 365 538 620 620
"comp20561_seq0" 2 3 0 3 2 18
